,Pred_spent,Pred_prob,customer_id,recency,fequency,price_sum,price_mean,spent_90_days,spent_90_flag
0,0.76148176,0.20044775,1,-455.0,1,11.77,11.77,0.0,0.0
1,1.7241197,0.21003091,2,-444.0,2,89.0,44.5,0.0,0.0
2,8.92676,0.34045762,3,-127.0,5,139.47,27.894,16.99,1.0
3,7.5947413,0.34045762,4,-110.0,4,100.5,25.125,0.0,0.0
4,16.058043,0.5529798,5,-88.0,11,385.61,35.055454545454545,0.0,0.0
5,0.801216,0.20044775,6,-455.0,1,20.99,20.99,0.0,0.0
6,17.836084,0.4210038,7,-10.0,3,264.67,88.22333333333334,0.0,0.0
7,19.905481,0.54072547,8,-3.0,8,197.66,24.7075,0.0,0.0
8,2.4772353,0.24232993,9,-323.0,2,53.87,26.935,41.98,1.0
9,0.84974086,0.20044775,10,-435.0,1,39.31,39.31,0.0,0.0
10,5.905983,0.43836406,11,-40.0,4,58.550000000000004,14.637500000000001,0.0,0.0
11,1.4619734,0.20044775,12,-455.0,1,57.06,57.06,0.0,0.0
12,1.4619734,0.20044775,13,-455.0,1,72.94,72.94,0.0,0.0
13,0.801216,0.20044775,14,-455.0,1,29.92,29.92,0.0,0.0
14,1.448303,0.20044775,15,-455.0,1,52.87,52.87,0.0,0.0
15,4.610345,0.28769442,16,-203.0,4,79.87,19.9675,0.0,0.0
16,1.4619734,0.20044775,17,-455.0,1,73.22,73.22,0.0,0.0
17,0.76148176,0.20044775,18,-452.0,1,14.96,14.96,0.0,0.0
18,5.4500594,0.2548567,19,-295.0,2,175.12,87.56,0.0,0.0
19,6.609211,0.21003091,20,-438.0,2,653.01,326.505,0.0,0.0
20,1.7241197,0.21003091,21,-443.0,2,75.11,37.555,0.0,0.0
21,0.76148176,0.20044775,22,-455.0,1,14.37,14.37,0.0,0.0
22,0.801216,0.20044775,23,-455.0,1,24.74,24.74,0.0,0.0
23,3.6816792,0.2686053,24,-71.0,2,57.77,28.885,0.0,0.0
24,4.874364,0.36318332,25,-159.0,4,64.1,16.025,73.43,1.0
25,1.7241197,0.21003091,26,-430.0,2,102.69,51.345,0.0,0.0
26,1.7241197,0.21003091,27,-444.0,2,135.87,67.935,0.0,0.0
27,2.1668208,0.22444427,28,-389.0,3,90.99,30.33,0.0,0.0
28,16.577507,0.42475337,29,-150.0,11,387.36,35.21454545454546,48.45,1.0
29,0.8890365,0.21638241,30,-411.0,2,28.34,14.17,0.0,0.0
30,1.4619734,0.20044775,31,-455.0,1,59.06,59.06,117.99000000000001,1.0
31,7.66025,0.40152174,32,-21.0,3,78.21,26.069999999999997,0.0,0.0
32,88.95713,0.6888143,33,-19.0,25,1045.47,41.8188,0.0,0.0
33,0.801216,0.20044775,34,-455.0,1,23.14,23.14,0.0,0.0
34,3.1787066,0.26510084,35,-186.0,2,42.22,21.11,0.0,0.0
35,0.89823455,0.21868135,36,-422.0,2,49.67999999999999,24.839999999999996,0.0,0.0
36,11.414662,0.3368623,37,-150.0,5,128.2,25.639999999999997,27.48,1.0
37,0.76148176,0.20044775,38,-455.0,1,12.49,12.49,0.0,0.0
38,15.729401,0.4210038,39,-21.0,5,221.45,44.29,0.0,0.0
39,25.536953,0.6400545,40,-24.0,14,318.94,22.78142857142857,0.0,0.0
40,0.76148176,0.20044775,41,-455.0,1,17.99,17.99,0.0,0.0
41,0.89823455,0.23934807,42,-454.0,2,38.32,19.16,0.0,0.0
42,7.927651,0.34045762,43,-124.0,4,102.83,25.7075,14.49,1.0
43,3.514095,0.27024382,44,-286.0,3,59.65,19.883333333333333,0.0,0.0
44,0.76148176,0.20044775,45,-455.0,1,14.37,14.37,0.0,0.0
45,12.966598,0.36645797,46,-140.0,7,315.87,45.12428571428571,0.0,0.0
46,34.019962,0.7254958,47,-10.0,19,400.82,21.09578947368421,26.98,1.0
47,55.34064,0.71843725,48,-10.0,18,610.96,33.94222222222223,38.97,1.0
48,0.801216,0.20044775,49,-455.0,1,27.94,27.94,0.0,0.0
49,0.76148176,0.20044775,50,-455.0,1,6.79,6.79,0.0,0.0
50,17.265263,0.43633774,51,-121.0,6,367.38,61.23,0.0,0.0
51,9.538934,0.33449605,52,-284.0,7,368.7,52.67142857142857,76.98,1.0
52,5.1793613,0.43892416,53,-51.0,5,72.22,14.443999999999999,13.99,1.0
53,0.801216,0.20044775,54,-455.0,1,33.96,33.96,0.0,0.0
54,1.7241197,0.21003091,55,-446.0,2,81.45,40.725,0.0,0.0
55,9.147393,0.35444796,56,-105.0,4,129.19,32.2975,0.0,0.0
56,1.4619734,0.20044775,57,-455.0,1,57.86,57.86,0.0,0.0
57,0.801216,0.20044775,58,-455.0,1,20.99,20.99,0.0,0.0
58,0.9358974,0.21144857,59,-431.0,3,36.53,12.176666666666668,0.0,0.0
59,0.801216,0.20044775,60,-424.0,1,21.75,21.75,0.0,0.0
60,1.4322248,0.20044775,61,-455.0,1,155.65,155.65,0.0,0.0
61,8.253067,0.4780333,62,-154.0,11,237.15,21.55909090909091,0.0,0.0
62,3.8822713,0.3174673,63,-130.0,2,71.95,35.975,48.96,1.0
63,25.889017,0.6358976,64,-29.0,10,272.35,27.235000000000003,95.02,1.0
64,6.1917176,0.39177686,65,-10.0,3,68.74,22.91333333333333,0.0,0.0
65,0.84974086,0.20044775,66,-455.0,1,39.99,39.99,0.0,0.0
66,1.7965814,0.21003091,67,-439.0,3,71.49,23.83,0.0,0.0
67,0.84974086,0.20044775,68,-455.0,1,40.36,40.36,0.0,0.0
68,1.694371,0.21003091,69,-452.0,2,217.07999999999998,108.53999999999999,0.0,0.0
69,1.4619734,0.20044775,70,-455.0,1,72.23,72.23,0.0,0.0
70,0.76148176,0.20044775,71,-455.0,1,13.97,13.97,0.0,0.0
71,0.76148176,0.20044775,72,-455.0,1,11.99,11.99,0.0,0.0
72,2.1805468,0.22444427,73,-381.0,3,94.57,31.52333333333333,0.0,0.0
73,0.84974086,0.20044775,74,-455.0,1,41.99,41.99,0.0,0.0
74,1.4619734,0.20044775,75,-455.0,1,69.81,69.81,0.0,0.0
75,0.76148176,0.20044775,76,-455.0,1,9.99,9.99,0.0,0.0
76,0.76148176,0.20044775,77,-455.0,1,12.97,12.97,0.0,0.0
77,0.84974086,0.20044775,78,-443.0,1,41.52,41.52,53.74,1.0
78,1.4619734,0.20044775,79,-455.0,1,77.44,77.44,0.0,0.0
79,0.84974086,0.20044775,80,-455.0,1,43.46,43.46,0.0,0.0
80,12.114381,0.33975983,81,-186.0,14,430.69,30.763571428571428,0.0,0.0
81,13.812656,0.4210038,82,-33.0,5,202.51,40.501999999999995,40.29,1.0
82,5.4153476,0.30508113,83,-252.0,3,80.19,26.73,21.49,1.0
83,0.76148176,0.20044775,84,-455.0,1,13.97,13.97,0.0,0.0
84,0.801216,0.20044775,85,-453.0,1,26.31,26.31,0.0,0.0
85,0.801216,0.20044775,86,-455.0,1,23.94,23.94,0.0,0.0
86,8.228644,0.31596416,87,-175.0,4,206.55,51.6375,0.0,0.0
87,3.549913,0.27622172,88,-161.0,2,34.97,17.485,0.0,0.0
88,56.84164,0.65592176,89,-33.0,17,530.89,31.228823529411763,40.99,1.0
89,0.8497097,0.21144857,90,-448.0,2,24.67,12.335,0.0,0.0
90,0.801216,0.20044775,91,-455.0,1,32.54,32.54,0.0,0.0
91,1.7718675,0.22982603,92,-350.0,2,53.339999999999996,26.669999999999998,0.0,0.0
92,1.694371,0.23934807,93,-453.0,2,219.32999999999998,109.66499999999999,0.0,0.0
93,0.84974086,0.20044775,94,-454.0,1,44.1,44.1,0.0,0.0
94,176.32451,0.6888143,95,-16.0,25,1233.5,49.34,281.77,1.0
